name,imageUrl,categories,address,description,link,street,city,state,zip,guessedCity
Savvor Restaurant and Lounge,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_7967.webp,American/General	 Bars	 Southern,180 Lincoln St.	 Boston	 Massachusetts	 United States,An attractive neighbor in Boston's Leather District	 Savvor Restaurant and Lounge housed on Lincoln Street is just a 5 minute walk from South Station	 and located within walking distance of the city's bustling Financial District.,http://savvorbostonlounge.com/,Lincoln,Boston,MA,2108,Boston
Scullers Jazz Club,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2258.webp,Restaurant	 Jazz & Blues	 Bars,400 Soldiers Field Rd	 Boston	 Massachusetts	 United States,,http://www.scullersjazz.com/,Soldiers Field,Boston,MA,2108,Boston
Tafari Wraps,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_23617.webp,Accessories	 Cultural	 Clothing	 Black Woman Owned,63 Melcher St	 Boston	 Massachusetts	 United States,We specialize in African inspired couture headwraps using the finest textiles to achieve a breathable	 sophisticated look. Our headwraps are perfect for women	 men and children of all experiences	 and are a great alternative to wigs and bad hair days,https://www.tafariwraps.com,Melcher,Boston,MA,2108,Boston
Teranga,,African Restaurants,1746 Washington St 	 Boston	 Massachusetts	 United States,A sapele-&-zebrawood bar is part of the African decor that sets the scene for Senegalese eats.,http://terangaboston.com,Washington,Boston,MA,2108,Boston
Teranga Restaurant - Senegalese cuisine,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_7562.webp,African Restaurants,1746 Washington St	 Boston	 Massachusetts	 United States,Teranga was created by chef Marie-Claude Mendy. Born in the West African country of Senegal	 raised in Paris	 and educated in London	 Marie-Claude has made Boston her home.,http://terangaboston.com,Washington,Boston,MA,2108,Boston
The Beehive,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2272.webp,Restaurant	 Jazz & Blues	 Bars,541 Tremont St	 Boston	 Massachusetts	 United States,,http://www.beehiveboston.com,Tremont,Boston,MA,2108,Boston
The Hen House Wings 'n Waffles,,Soul Food,1033 Massachusetts Ave	 Boston	 Massachusetts	 United States,,http://www.thehenhouseboston.com,Massachusetts,Boston,MA,2108,Boston
Wally's Cafe,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2282.webp,Restaurant	 Jazz & Blues	 Bars,427 Massachusetts Ave	 Boston	 Massachusetts	 United States,,http://www.wallyscafe.com/,Massachusetts,Boston,MA,2108,Boston
Wallys Cafe,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_16789.webp,Cafe	 Coffee & Tea,427 Massachusetts Ave	 Boston	 Massachusetts	 United States,Wally's Café is among the oldest family owned and operated jazz clubs in existence.  It was founded in 1947 by Mr. Joseph L. Walcott.  We feature live music 365 days a year.,http://www.wallyscafe.com,Massachusetts,Boston,MA,2108,Boston
Bryant Associates,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_6617.webp,Water Treatment	 Construction,90 Canal Street	 Suite 301	 Bosto	 Maryland 2114	 United States,Commercial and institutional building construction water and sewer line and related structures construction highway street and bridge construction surveying and mapping except geophysical services all other professional scientific and technical servi,http://www.bryant-engrs.com,Canal,Boston,MA,2109,Boston
A Nubian Notion,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_6175.webp,Arts & Crafts	 Custom Jewelry	 Custom Apparel,146 Dudley St	 Roxbury	 Massachusetts	 United States,A Nubian Notion	 Incorporated. Your one stop web site for imported and domestic African	 Afro-centric	 and Caribbean products.,,Dudley,Roxbury,MA,2119,Roxbury
Jalloh African Market,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_29928.webp,Grocery Store	 Health Markets	 Ethnic Food,173 Dudley St.	 Roxbury	 Massachusetts	 United States,,,Dudley,Roxbury,MA,2119,Roxbury
Silver Slipper Restaurant,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2735.webp,Restaurant	 Hotels	 Vacation Rentals,2387 Washington St	 Roxbury	 Massachusetts	 United States,,http://www.silverslipper-ms.com,Washington,Roxbury,MA,2119,Roxbury
Suya Joint All African Cuisine,,African Restaurants,185 Dudley Street	 Roxbury	 Massachusetts	 United States,Our elegant bar and lounge is designed to appeal to Africans searching for a taste of home and Americans exploring the food and culture of exotic Africa. Suya is a favored Nigerian delicacy. Suya kabobs are made of thinly sliced beef or chicken seaso,http://suyajoint.com,Dudley,Roxbury,MA,2119,Roxbury
Slades Bar & Grill,,Restaurant	 Bars,958 Tremont St	 Roxbury Crossing	 Massachusetts 2120	 United States,,http://sladesbarandgrill.com/,Tremont,Roxbury Crossing,MA,2120,Roxbury Crossing
Diaspora Africa,,Clothing,582 Washington Street	 Dorchester	 Massachusetts	 United States,,,Washington,Dorchester,MA,2121,Dorchester
Down Home Delivery & Catering,,Restaurant	 Food Delivery,2 Bowdoin St.	 Dorchester	 Massachusetts 2124	 United States,,http://www.downhomedelivery.com/,Bowdoin,Dorchester,MA,2121,Dorchester
Pit Stop Barbeque,,BBQ,888A Morton St	 Dorchester	 Massachusetts 2124	 United States,Barbeque,http://www.thepitbbq.net/,A Morton,Dorchester,MA,2121,Dorchester
The Rotisserie,,Soul Food,651 Warren Street	 Dorchester	 Massachusetts 2121	 United States,,http://www.therotisseriedorchester.com/,Warren,Dorchester,MA,2121,Dorchester
Very Berry Frozen Yogurt,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2121.webp,Cafe	 Ice Cream & Frozen Yogurt,1413 Dorchester Ave	 Dorchester	 Massachusetts 2122	 United States,,http://www.veryberryboston.com,Dorchester,Dorchester,MA,2121,Dorchester
William Browne & Sons,,Dry Cleaning & Laundry,862 Morton St	 Mattapan	 Massachusetts	 United States,,,Morton,Mattapan,MA,2126,Mattapan
Roxbury Technology Corporation,,Information Technology,75 Sprague St	 Jamaica Plain	 Massachusetts	 United States,,http://www.roxburytechnology.com,Sprague,Jamaica Plain,MA,2130,Jamaica Plain
Sunset Grill & Tap,,Restaurant	 Burgers,130 Brighton Ave	 Allston	 Massachusetts	 United States,,http://www.allstonsfinest.com/,Brighton,Allston,MA,2134,Allston
Baraka Caf,,African Restaurants,80 Pearl St     	 Cambridge	 Massachusetts	 United States,Baraka Caf,http://barakacafe.com,Pearl,Cambridge,MA,2138,Cambridge
Bosstown Clothing	 Custom Printing And Embroidering,,Printing Services	 Embroidering,198 River St	 Cambridge	 Massachusetts 2139	 United States,,http://www.bosstownclothing.com/,River,Cambridge,MA,2138,Cambridge
Bytes At University Park,,Information Technology,64 Sidney St	 Cambridge	 Massachusetts	 United States,,,Sidney,Cambridge,MA,2138,Cambridge
Petsi Pies,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_2572.webp,Bakeries & Desserts,441 Cambridge St	 Cambridge	 Massachusetts 2141	 United States,,http://petsipies.com/,Cambridge,Cambridge,MA,2138,Cambridge
Rhythm & Wraps,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_10296.webp,Food Trucks,1 Kirkland St	 Cambridge	 Massachusetts 2138	 United States,Chef O'Shinga RamaShinga Has Been A Student Of The Culinary Arts And Sciences Since 2009. A Graduate Of Le Cordon Bleu College Of Culinary Arts In 2011	 Chef RamaShinga Has Been Specializing In Vegetarian And Ayurvedic-inspired Cooking.,http://rhythmnwraps.com/menu/,Kirkland,Cambridge,MA,2138,Cambridge
The Coast Cafe,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_11628.webp,Soul Food	 Cafe,233 River St 	 Cambridge	 Massachusetts 2139	 United States,Welcome to The Coast Cafe	 home to the best fried chicken and mac & cheese in New England! At The Coast Cafe	 we serve America’s preeminent regional cuisine: Southern-Cooked Soul Food. All of our meals are made with tender loving care. It’s just one,http://www.coastsoulcafe.com/,River,Cambridge,MA,2138,Cambridge
Tupelo,,Soul Food	 Cajun/Creole,1193 Cambridge Street 	 Cambridge	 Massachusetts 2139	 United States,,http://www.tupelo02139.com/,Cambridge,Cambridge,MA,2138,Cambridge
Fasika Ethiopian Restaurant,,Ethiopian,145 Broadway	 Somerville	 Massachusetts	 United States,,,Broadway,Somerville,MA,2143,Somerville
Apple Auto Body & Car Care,,Auto Repair	 Body Shops,101 York Ave. 	 Randolph	 Massachusetts	 United States,Automotive Services,,York,Randolph,MA,2368,Randolph
Mt Auburn Mobil,,Auto Repair,660 Mount Auburn St 	 Watertown	 Massachusetts	 United States,Automotive Services,,Mount Auburn,Watertown,MA,2471,Watertown
The Oak Bluffs Inn,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_7009.webp,Bed & Breakfast	 Hotels	 Vacation Rentals,64 Circuit Ave	 Oak Bluffs	 Massachusetts 2557	 United States,Located on an intimate setting near the beach	 the Oak Bluffs Inn offers guests a comforting B&B experience. From an on-site garden to nearby locations such as the Cottage Museum	 Ocean Park	 and the Oak Bluffs Harbor	 the Oak Bluffs Inn is great for,,Circuit,Oak Bluffs,MA,2557,Oak Bluffs
M.A.G.I.C. Food Services,,Food Delivery Services	 Shopping/Restaurant Equipment,3042 Cranberry Highway	 Wareham	 Massachusetts 2538	 United States,M.A.G.I.C. Food Services	 Ltd. was founded in 2006. The company's line of business includes the retail sale of prepared foods and drinks for on-premise consumption.,,Cranberry,Wareham,MA,2571,Wareham
J & J Construction Architectural Woodwork	 Inc.,,General Contractors,P.O. Box 266 	 East Taunton	 Massachusetts 2718	 United States,,,,East Taunton,MA,2718,East Taunton
Angelina's,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_6361.webp,Cafe	 Coffee/Tea Shops,301 Hope St	 Bristol	 Rhode Island	 United States,,,Hope,Bristol,RI,2809,Bristol
Smoove Moving Company,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_30753.webp,Movers,68 Central Street 	 Manville	 Rhode Island	 United States,Smoove Moving Company is a company established to meet the transportation logistics needs of residential and small business consumers.,http://www.smoove4u.com,Central,Manville,RI,2838,Manville
Banneker Industries,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_1914.webp,Supply Chain & Logistics,582 Great Road	 North Smithfield	 Rhode Island 2896	 United States,,http://banneker.com,Great,North Smithfield,RI,2896,North Smithfield
Abyssinia,,Ethiopian	 African Restaurants,333 Wickenden St 	 Providence	 Rhode Island	 United States,Abyssinia,,Wickenden,Providence,RI,2901,Providence
Hines Dermatology Associates	Inc,,Dermatologists,Taunton	 Providence	 Rhode Island	 United States,Dermatologists,,Taunton,Providence,RI,2901,Providence
Tea In Sahara,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_5903.webp,African Restaurants	 Coffee/Tea Shops	 Internet Cafes,69 Governor St	 Providence	 Rhode Island	 United States,We are a family owned and operated Café known for our green tea with fresh mint	 Moroccan atmosphere and decor.We serve espresso drinks	 authentic Moroccan appetizers	 tagines for lunch or dinner and deserts.,,Governor,Providence,RI,2901,Providence
Mawuhi African Market,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_32029.webp,Farmers Market	 Grocery Store,160 N Winooski Ave	 Burlington	 Vermont 5401	 United States,Go into Mawuhi’s for a taste of Africa.,,Winooski,Burlington,VT,5401,Burlington
Pcc Technology Group,,Entrepreneurs	 Business Consulting,100 Northfield Dr  Ste 300A	 Windsor	 Connecticut 6095	 United States,,,Northfield,Windsor,CT,6006,Windsor
Woodview Construction Services	 Llc,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_5332.webp,Construction,11 Ashley Road	 Windsor	 Connecticut 6095	 United States,,,Ashley,Windsor,CT,6006,Windsor
Safety Solution Consultants Inc,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_5214.webp,Construction	 Workforce Management	 Business Consulting,99 RAINBOW ROAD	 EAST GRANBY	 Connecticut 6026	 United States,,,RAINBOW,EAST GRANBY,CT,6026,EAST GRANBY
Anya Production Studios,,Cinema	 Performing Arts	 Entertainment,30 Arbor Street 	 Suite 211 	 Hartford	 Connecticut 6106	 United States,,,Arbor,Hartford,CT,6101,Hartford
AquaStone Graphic Arts & Print	 LLC,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_5242.webp,Printing Services	 Graphic Design	 Web Design,Hartford Square West 75 Charter Oak Avenue	 Suite 1-105	 Hartford	 Connecticut 6106	 United States,,,Hartford Square West 75 Charter Oak,Hartford,CT,6101,Hartford
Bdtent Llc,,Entertainment,2 Park Place Apt 14k	 Hartford	 Connecticut	 United States,BDTENT LLC full-services entertainment company. Located in Hartford CT.    ?Instrumentals  ?Beats  ?Music Videos  ?Management  ?Promotion  ?Photography  ?Recording studio  ?Mixing  ?Videography  ?Bu,www.bdtent.com,Park,Hartford,CT,6101,Hartford
Fire & Spice Vegan Restaurant,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_14017.webp,Vegan	 Caribbean	 Vegetarian	 Juice Bars & Smoothies,248 Sisson Ave	 Hartford	 Connecticut 6105	 United States,Vegan	 Juice Bars & Smoothies	 Sandwiches,http://firenspiceveganrestaurant.com//,Sisson,Hartford,CT,6101,Hartford
In God We Trust Afrikan Restaurant,,African Restaurants,453 Washington St	 Hartford	 Connecticut	 United States,In God We Trust Afrikan Restaurant,,Washington,Hartford,CT,6101,Hartford
Long & Grier Trucking,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_12324.webp,Trucking,2920 Main Street 	 Hartford	 Connecticut 6120	 United States,,,Main,Hartford,CT,6101,Hartford
LIFER Fitness Studio,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_20103.webp,Black Woman Owned	 Personal/Group Training	 Yoga	 Trainers	 Barre Classes,20 Jefferson Ave Ste 6	 West Hartford	 Connecticut 6110	 United States,INDOOR CYCLE	 BARRE	 CYCLEBARRE	 CYCLESTRENGTH	 CARDIO KICKBOXING	 CORE & YOGA,http://liferitswhatwedo.com,Jefferson,West Hartford,CT,6107,West Hartford
Tasty Ethnic Foods,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_7817.webp,African Restaurants,242 Burnside Ave	 East Hartford	 Connecticut	 United States,,,Burnside,East Hartford,CT,6108,East Hartford
Midstate Excavation and Landscaping,https://ranktribe.com/media/cache/small/custom/domain_1/image_files/sitemgr_photo_13811.webp,Lawn Care/Landscaping,168a Route 66 East	 Columbia	 Connecticut 6237	 United States,,,a Route 66,Columbia,CT,6237,Columbia
Creative Potential LLC,,Mental Health	 Special Needs,PO Box 1824 	 New London	 Connecticut	 United States,,http://www.creativepotentialllc.com,,New London,CT,6320,New London
